Season,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
17/18,28/01/18,Napoli,Bologna,3,1,H,2,1,H,9,10,4,5,7,13,7,3,1,2,0,0
17/18,28/01/18,Roma,Sampdoria,0,1,A,0,0,D,19,15,8,10,8,7,10,10,2,2,0,0
17/18,28/01/18,Spal,Inter,1,1,D,0,0,D,12,10,3,6,7,26,4,6,1,0,0,0
17/18,28/01/18,Torino,Benevento,3,0,H,3,0,H,14,6,5,1,14,10,6,3,2,1,0,1
17/18,03/02/18,Inter,Crotone,1,1,D,1,0,H,11,11,2,2,14,8,7,4,1,3,0,0
17/18,03/02/18,Sampdoria,Torino,1,1,D,1,1,D,9,14,3,5,15,19,6,4,3,4,0,1
17/18,04/02/18,Atalanta,Chievo,1,0,H,0,0,D,24,4,4,0,11,14,10,3,0,1,0,0
17/18,04/02/18,Benevento,Napoli,0,2,A,0,1,A,14,17,4,5,4,6,4,5,1,0,0,0
17/18,04/02/18,Bologna,Fiorentina,1,2,A,1,1,D,8,11,4,6,11,12,4,4,2,1,0,0
17/18,04/02/18,Cagliari,Spal,2,0,H,1,0,H,10,10,4,3,26,16,6,3,5,2,0,0
17/18,04/02/18,Juventus,Sassuolo,7,0,H,4,0,H,17,5,10,1,8,8,5,1,0,2,0,0
17/18,04/02/18,Udinese,Milan,1,1,D,0,1,A,13,15,3,4,18,13,5,5,2,2,0,1
17/18,04/02/18,Verona,Roma,0,1,A,0,1,A,9,17,1,8,17,7,4,6,3,1,0,1
17/18,05/02/18,Lazio,Genoa,1,2,A,0,0,D,22,6,5,4,7,9,8,1,0,1,0,0
17/18,09/02/18,Fiorentina,Juventus,0,2,A,0,0,D,12,4,2,3,12,17,2,5,4,3,0,0
17/18,10/02/18,Crotone,Atalanta,1,1,D,0,0,D,9,13,4,4,16,13,4,9,4,2,0,0
17/18,10/02/18,Napoli,Lazio,4,1,H,1,1,D,17,5,7,1,5,10,2,2,0,3,0,0
17/18,10/02/18,Spal,Milan,0,4,A,0,1,A,8,21,0,9,17,16,3,5,3,3,0,0
17/18,11/02/18,Chievo,Genoa,0,1,A,0,0,D,6,10,1,3,16,17,3,7,1,1,0,0
17/18,11/02/18,Inter,Bologna,2,1,H,1,1,D,15,8,5,4,18,17,7,2,1,3,0,2
17/18,11/02/18,Roma,Benevento,5,2,H,1,1,D,20,6,9,3,9,7,10,3,0,0,0,0
17/18,11/02/18,Sampdoria,Verona,2,0,H,0,0,D,22,6,10,1,10,15,8,4,1,1,0,0
